[22137830, 22139270]
[28606790, 28607110]
[28607110, 28607520]
[28607520, 28608920]
[28608920, 28609720]
[28609720, 28612210]
[28612210, 28613310]
[28613310, 28615490]
[28615490, 28616000]
[28616000, 28616100]
[28616100, 28618470]
[28618470, 28619890]
[28619890, 28620890]
[28620890, 28624180]
[28624180, 28625880]
[28625880, 28627600]
[28627600, 28628600]
[28628600, 28629760]
[28629760, 28630760]
[28630760, 28631910]
[28631910, 28633230]
[28633230, 28634230]
[28634230, 28635040]
[28635040, 28636600]
[28636600, 28637530]
[28637530, 28638530]
[28638530, 28639600]
[28639600, 28640790]
[28640790, 28641850]
[28641850, 28642650]
[28642650, 28643840]
[28643840, 28646910]
[28646910, 28648480]
[28648480, 28649970]
[28649970, 28651370]
[28651370, 28652370]
[28652370, 28653440]
[28653440, 28655030]
[28655030, 28656030]
[28656030, 28656830]
[28656830, 28658710]
[28658710, 28660290]
[28660290, 28661860]
[28661860, 28662780]
[28662780, 28663850]
[28663850, 28664460]
[28664460, 28666120]
[28666120, 28666790]
[28666790, 28667840]
[28667840, 28669050]
[28669050, 28671380]
[28671380, 28673050]
[28673050, 28674530]
[28674530, 28675360]
[28675360, 28676580]
[28676580, 28677550]
[28677550, 28678370]
[28678370, 28679320]
[28679320, 28681620]
[28681620, 28682570]
[28682570, 28683700]
[28683700, 28684600]
[28684600, 28685410]
[28685410, 28686930]
[28686930, 28687800]
[28687800, 28689750]
[28689750, 28690570]
[28690570, 28691390]
[28691390, 28692460]
[28692460, 28693780]
[28693780, 28694440]
[28694440, 28695950]
[28695950, 28696850]
[28696850, 28698060]
[28698060, 28698890]
[28698890, 28699700]
[28699700, 28700300]
[28700300, 28701600]
[28701600, 28703170]
[28703170, 28704660]
[28704660, 28705790]
[28705790, 28706790]
[28706790, 28707600]
[28707600, 28708610]
[28708610, 28710820]
[28710820, 28711750]
[28711750, 28712750]
[28712750, 28713550]
[28713550, 28714590]
[28714590, 28715530]
[28715530, 28716530]
[28716530, 28717380]
[28717380, 28719060]
[28719060, 28720070]
[28720070, 28720870]
[28720870, 28722210]
[28722210, 28723070]
[28723070, 28724300]
[28724300, 28726060]
[28726060, 28726970]
[28726970, 28727910]
[28727910, 28728940]
[28728940, 28730380]
[28730380, 28731380]
[28731380, 28733440]
[28733440, 28735280]
[28735280, 28736090]
[28736090, 28738980]
[28738980, 28740050]
[28740050, 28741540]
[28741540, 28742400]
[28742400, 28744240]
[28744240, 28745260]
[28745260, 28746920]
[28746920, 28747720]
[28747720, 28748520]
[28748520, 28751070]
[28751070, 28752070]
[28752070, 28754410]
[28754410, 28755410]
[28755410, 28756650]
[28756650, 28757990]
[28757990, 28758790]
[28758790, 28760240]
[28760240, 28761510]
[28761510, 28764750]
[28764750, 28767130]
[28767130, 28769980]
[28769980, 28770830]
[28770830, 28772090]
[28772090, 28773460]
[28773460, 28774880]
[28774880, 28776000]
[28776000, 28777090]
[28777090, 28780670]
[28780670, 28783080]
[28783080, 28784080]
[28784080, 28785450]
[28785450, 28786920]
[28786920, 28788060]
[28788060, 28790800]
[28790800, 28791810]
[28791810, 28795000]
[28795000, 28796330]
[28796330, 28797330]
[28797330, 28798130]
[28798130, 28799520]
[28799520, 28800410]
[28800410, 28801740]
[28801740, 28803230]
[28803230, 28804040]
[28804040, 28808350]
[28808350, 28809150]
[28809150, 28810150]
[28810150, 28812870]
[28812870, 28813670]
[28813670, 28816320]
[28816320, 28818570]
[28818570, 28820990]
[28820990, 28821880]
[28821880, 28823140]
[28823140, 28824140]
[28824140, 28825550]
[28825550, 28826620]
[28826620, 28827620]
[28827620, 28828770]
[28828770, 28829600]
[28829600, 28830400]
[28830400, 28831200]
[28831200, 28833320]
[28833320, 28835890]
[28835890, 28836690]
[28836690, 28838030]
[28838030, 28839230]
[28839230, 28840890]
[28840890, 28841890]
[28841890, 28843700]
[28843700, 28844590]
[28844590, 28846560]
[28846560, 28847360]
[28847360, 28848480]
[28848480, 28849440]
[28849440, 28851460]
[28851460, 28852460]
[28852460, 28854750]
[28854750, 28855590]
[28855590, 28857020]
[28857020, 28858030]
[28858030, 28859010]
[28859010, 28860480]
[28860480, 28862070]
[28862070, 28862870]
[28862870, 28864800]
[28864800, 28865600]
[28865600, 28866600]
[28866600, 28867200]
[28867200, 28869530]
[28869530, 28870690]
[28870690, 28871690]
[28871690, 28872680]
[28872680, 28874210]
[28874210, 28876230]
[28876230, 28877410]
[28877410, 28878500]
[28878500, 28879540]
[28879540, 28880750]
[28880750, 28882480]
[28882480, 28883490]
[28883490, 28884330]
[28884330, 28885720]
[28885720, 28887060]
[28887060, 28887980]
[28887980, 28888980]
[28888980, 28889950]
[28889950, 28890950]
[28890950, 28894150]
[28894150, 28895150]
[28895150, 28895950]
[28895950, 28896950]
[28896950, 28897250]
[28897250, 28897920]
[28897920, 28898720]
[28898720, 28900100]
[28900100, 28901750]
[28901750, 28902880]
[28902880, 28903680]
[28903680, 28904920]
[28904920, 28906180]
[28906180, 28907430]
[28907430, 28908250]
[28908250, 28909310]
[28909310, 28910110]
[28910110, 28911280]
[28911280, 28912280]
[28912280, 28913090]
[28913090, 28914100]
[28914100, 28914910]
[28914910, 28915710]
[28915710, 28916510]
[28916510, 28917500]
[28917500, 28918500]
[28918500, 28919300]
[28919300, 28920100]
[28920100, 28920900]
[28920900, 28923440]
[28923440, 28924940]
[28924940, 28925760]
[28925760, 28926910]
[28926910, 28928520]
[28928520, 28929320]
[28929320, 28931320]
[28931320, 28932990]
[28932990, 28933980]
[28933980, 28935130]
[28935130, 28935930]
[28935930, 28936930]
[28936930, 28938450]
[28938450, 28939380]
[28939380, 28939980]
[28939980, 28941730]
[28941730, 28942750]
[28942750, 28943550]
[28943550, 28944560]
[28944560, 28945360]
[28945360, 28946660]
[28946660, 28948130]
[28948130, 28949200]
[28949200, 28950040]
[28950040, 28950380]
[28950380, 28950640]
[28950640, 28951450]
[28951450, 28953020]
[28953020, 28953990]
[28953990, 28955380]
[28955380, 28957790]
[28957790, 28959090]
[28959090, 28959900]
[28959900, 28960920]
[28960920, 28961720]
[28961720, 28963000]
[28963000, 28964130]
[28964130, 28964730]
[28964730, 28968230]
[28968230, 28970100]
[28970100, 28971370]
[28971370, 28977130]
[28977130, 28978090]
[28978090, 28978890]
[28978890, 28980540]
[28980540, 28981920]
[28981920, 28983840]
[28983840, 28984870]
[28984870, 28986990]
[28986990, 28987600]
[28987600, 28988860]
[28988860, 28990090]
[28990090, 28991300]
[28991300, 28991900]
[28991900, 28992930]
[28992930, 28993830]
[28993830, 28997190]
[28997190, 28998000]
[28998000, 28998800]
[28998800, 29000490]
[29000490, 29001090]
[29001090, 29001290]
[29001290, 29003370]
[29003370, 29004560]
[29004560, 29005620]
[29005620, 29006460]
[29006460, 29007060]
[29007060, 29008390]
[29008390, 29009190]
[29009190, 29009990]
[29009990, 29012490]
[29012490, 29013490]
[29013490, 29015090]
[29015090, 29015890]
[29015890, 29016890]
[29016890, 29018400]
[29018400, 29019400]
[29019400, 29021050]
[29021050, 29021850]
[29021850, 29022670]
[29022670, 29023610]
[29023610, 29025360]
[29025360, 29026700]
[29026700, 29027700]
[29027700, 29028680]
[29028680, 29029280]
[29029280, 29030180]
[29030180, 29034940]
[29034940, 29035910]
[29035910, 29038520]
[29038520, 29039320]
[29039320, 29040120]
[29040120, 29041610]
[29041610, 29042500]
[29042500, 29044060]
[29044060, 29045570]
[29045570, 29046990]
[29046990, 29049080]
[29049080, 29049880]
[29049880, 29050880]
[29050880, 29051680]
[29051680, 29052690]
[29052690, 29053770]
[29053770, 29057130]
[29057130, 29059820]
[29059820, 29061210]
[29061210, 29062120]
[29062120, 29063560]
[29063560, 29064560]
[29064560, 29066660]
[29066660, 29068620]
[29068620, 29069830]
[29069830, 29070830]
[29070830, 29071800]
[29071800, 29074050]
[29074050, 29074860]
[29074860, 29075890]
[29075890, 29076690]
[29076690, 29077810]
[29077810, 29078630]
[29078630, 29079630]
[29079630, 29081010]
[29081010, 29082240]
[29082240, 29083350]
[29083350, 29084820]
[29084820, 29086210]
[29086210, 29087400]
[29087400, 29088540]
[29088540, 29089480]
[29089480, 29090960]
[29090960, 29091870]
[29091870, 29092760]
[29092760, 29094180]
[29094180, 29094990]
[29094990, 29096540]
[29096540, 29097410]
[29097410, 29098750]
[29098750, 29102420]
[29102420, 29103510]
[29103510, 29104360]
[29104360, 29105700]
[29105700, 29110150]
[29110150, 29112850]
[29112850, 29113850]
[29113850, 29115490]
[29115490, 29116570]
[29116570, 29117830]
[29117830, 29119910]
[29119910, 29121060]
[29121060, 29123850]
[29123850, 29125730]
[29125730, 29126980]
[29126980, 29128420]
[29128420, 29130090]
[29130090, 29131090]
[29131090, 29132320]
[29132320, 29134460]
[29134460, 29135780]
[29135780, 29136580]
[29136580, 29138510]
[29138510, 29139940]
[29139940, 29141080]
[29141080, 29144260]
[29144260, 29145620]
[29145620, 29147190]
[29147190, 29148400]
[29148400, 29149400]
[29149400, 29150580]
[29150580, 29151830]
[29151830, 29152630]
[29152630, 29153890]
[29153890, 29154910]
[29154910, 29156380]
[29156380, 29157380]
[29157380, 29158430]
[29158430, 29160630]
[29160630, 29161460]
[29161460, 29164430]
[29164430, 29165780]
[29165780, 29167360]
[29167360, 29169030]
[29169030, 29170130]
[29170130, 29171590]
[29171590, 29173120]
[29173120, 29174120]
[29174120, 29174920]
[29174920, 29175930]
[29175930, 29176750]
[29176750, 29177780]
[29177780, 29179660]
[29179660, 29183720]
[29183720, 29185270]
[29185270, 29188160]
[29188160, 29189020]
[29189020, 29190880]
[29190880, 29191750]
[29191750, 29193970]
[29193970, 29194780]
[29194780, 29196000]
[29196000, 29196960]
[29196960, 29197960]
[29197960, 29198870]
[29198870, 29201000]
[29201000, 29203200]
[29203200, 29205050]
[29205050, 29206050]
[29206050, 29206890]
[29206890, 29208680]
[29208680, 29209480]
[29209480, 29210480]
[29210480, 29211330]
[29211330, 29212560]
[29212560, 29214540]
[29214540, 29216620]
[29216620, 29218560]
[29218560, 29219580]
[29219580, 29220430]
[29220430, 29221690]
[29221690, 29223730]
[29223730, 29224880]
[29224880, 29225680]
[29225680, 29227410]
[29227410, 29228410]
[29228410, 29230410]
[29230410, 29231960]
[29231960, 29233360]
[29233360, 29234460]
[29234460, 29235300]
[29235300, 29236580]
[29236580, 29237600]
[29237600, 29238450]
[29238450, 29239310]
[29239310, 29240180]
[29240180, 29241180]
[29241180, 29242290]
[29242290, 29243290]
[29243290, 29244540]
[29244540, 29246410]
[29246410, 29247410]
[29247410, 29248210]
[29248210, 29249700]
[29249700, 29250770]
[29250770, 29252640]
[29252640, 29253440]
[29253440, 29255700]
[29255700, 29257180]
[29257180, 29260430]
[29260430, 29261150]
[29261150, 29263160]
[29263160, 29264270]
[29264270, 29268920]
[29268920, 29270260]
[29270260, 29271060]
[29271060, 29274240]
[29274240, 29274960]
[29274960, 29276460]
[29276460, 29277460]
[29277460, 29282270]
[29282270, 29283270]
[29283270, 29284070]
[29284070, 29285270]
[29285270, 29286270]
[29286270, 29286870]
[29286870, 29290210]
[29290210, 29291790]
[29291790, 29292840]
[29292840, 29293440]
[29293440, 29294440]
[29294440, 29295240]
[29295240, 29296270]
[29296270, 29299280]
[29299280, 29304270]
[29304270, 29309180]
[29309180, 29310030]
[29310030, 29310830]
[29310830, 29311920]
[29311920, 29312730]
[29312730, 29315480]
[29315480, 29317510]
[29317510, 29319970]
[29319970, 29320970]
[29320970, 29321570]
[29321570, 29322580]
[29322580, 29323180]
[29323180, 29324960]
[29324960, 29325960]
[29325960, 29326760]
[29326760, 29327560]
[29327560, 29330680]
[29330680, 29331560]
[29331560, 29332360]
[29332360, 29333380]
[29333380, 29335600]
[29335600, 29339210]
[29339210, 29341200]
[29341200, 29343930]
[29343930, 29348410]
[29348410, 29349370]
[29349370, 29350170]
[29350170, 29352140]
[29352140, 29353180]
[29353180, 29354130]
[29354130, 29355260]
[29355260, 29356350]
[29356350, 29359650]
[29359650, 29360940]
[29360940, 29361740]
[29361740, 29363100]
[29363100, 29366190]
[29366190, 29368330]
[29368330, 29369140]
[29369140, 29370010]
[29370010, 29371010]
[29371010, 29371880]
[29371880, 29372850]
[29372850, 29373410]
[29373410, 29373570]
[29373570, 29374580]
[29374580, 29377680]
[29377680, 29378740]
[29378740, 29379580]
[29379580, 29380380]
[29380380, 29381210]
[29381210, 29382300]
[29382300, 29383120]
[29383120, 29383920]
[29383920, 29388440]
[29388440, 29389240]
[29389240, 29390770]
[29390770, 29392290]
[29392290, 29393090]
[29393090, 29394420]
[29394420, 29395350]
[29395350, 29396550]
[29396550, 29397350]
[29397350, 29398970]
[29398970, 29402130]
[29402130, 29403820]
[29403820, 29404820]
[29404820, 29405800]
[29405800, 29407120]
[29407120, 29407920]
[29407920, 29408730]
[29408730, 29409730]
[29409730, 29411020]
[29411020, 29411820]
[29411820, 29413260]
[29413260, 29414100]
[29414100, 29415510]
[29415510, 29416110]
[29416110, 29416920]
[29416920, 29418660]
[29418660, 29423810]
[29423810, 29425160]
[29425160, 29427790]
[29427790, 29429160]
[29429160, 29430530]
[29430530, 29431330]
[29431330, 29432330]
[29432330, 29433980]
[29433980, 29438220]
[29438220, 29440910]
[29440910, 29442150]
[29442150, 29443150]
[29443150, 29444690]
[29444690, 29446130]
[29446130, 29447420]
[29447420, 29449830]
[29449830, 29451060]
[29451060, 29452760]
[29452760, 29453650]
[29453650, 29455100]
[29455100, 29456200]
[29456200, 29457010]
[29457010, 29457810]
[29457810, 29460340]
[29460340, 29461340]
[29461340, 29463430]
[29463430, 29464260]
[29464260, 29465990]
[29465990, 29467570]
[29467570, 29468540]
[29468540, 29473860]
[29473860, 29474310]
[29474310, 29474690]
[29474690, 29475490]
[29475490, 29476490]
[29476490, 29477920]
[29477920, 29478730]
[29478730, 29479950]
[29479950, 29484120]
[29484120, 29484920]
[29484920, 29486420]
[29486420, 29488410]
[29488410, 29489790]
[29489790, 29490570]
[29490570, 29494320]
[29494320, 29496050]
[29496050, 29496960]
[29496960, 29499230]
[29499230, 29500720]
[29500720, 29500970]
[29500970, 29501320]
[29501320, 29502320]
[29502320, 29503250]
[29503250, 29503580]
[29503580, 29503960]
[29503960, 29507360]
[29507360, 29508310]
[29508310, 29509370]
[29509370, 29510680]
[29510680, 29512860]
[29512860, 29513690]
[29513690, 29515450]
[29515450, 29516620]
[29516620, 29517690]
[29517690, 29518530]
[29518530, 29519400]
[29519400, 29525760]
[29525760, 29527060]
[29527060, 29529900]
[29529900, 29531370]
[29531370, 29532410]
[29532410, 29537290]
[29537290, 29538090]
[29538090, 29539520]
[29539520, 29540330]
[29540330, 29541350]
[29541350, 29542510]
[29542510, 29544510]
[29544510, 29545420]
[29545420, 29546450]
[29546450, 29546710]
[29546710, 29546830]
[29546830, 29547250]
[29547250, 29548360]
[29548360, 29549550]
[29549550, 29550350]
[29550350, 29551610]
[29551610, 29552420]
[29552420, 29558300]
[29558300, 29562120]
[29562120, 29563130]
[29563130, 29564220]
[29564220, 29565220]
[29565220, 29566380]
[29566380, 29569750]
[29569750, 29570920]
[29570920, 29573510]
[29573510, 29575020]
[29575020, 29577070]
[29577070, 29577960]
[29577960, 29579190]
[29579190, 29580110]
[29580110, 29582500]
[29582500, 29583300]
[29583300, 29587110]
[29587110, 29588920]
[29588920, 29589830]
[29589830, 29590730]
[29590730, 29595250]
[29595250, 29596080]
[29596080, 29597930]
[29597930, 29598950]
[29598950, 29600050]
[29600050, 29600850]
[29600850, 29601910]
[29601910, 29602920]
[29602920, 29604640]
[29604640, 29606340]
[29606340, 29607650]
[29607650, 29608920]
[29608920, 29610810]
[29610810, 29613300]
[29613300, 29614090]
[29614090, 29615660]
[29615660, 29616460]
[29616460, 29617920]
[29617920, 29619040]
[29619040, 29620080]
[29620080, 29621800]
[29621800, 29622640]
[29622640, 29624550]
[29624550, 29628010]
[29628010, 29628630]
[29628630, 29629880]
[29629880, 29631430]
[29631430, 29632750]
[29632750, 29633750]
[29633750, 29634550]
[29634550, 29635560]
[29635560, 29637260]
[29637260, 29638060]
[29638060, 29642610]
[29642610, 29645030]
[29645030, 29646340]
[29646340, 29647400]
[29647400, 29648900]
[29648900, 29652000]
[29652000, 29653050]
[29653050, 29655000]
[29655000, 29655980]
[29655980, 29657820]
[29657820, 29659810]
[29659810, 29661500]
[29661500, 29663000]
[29663000, 29665020]
[29665020, 29666170]
[29666170, 29667150]
[29667150, 29668150]
[29668150, 29668950]
[29668950, 29670640]
[29670640, 29671680]
[29671680, 29678120]
[29678120, 29678990]
[29678990, 29683140]
[29683140, 29684260]
[29684260, 29685080]
[29685080, 29686090]
[29686090, 29687460]
[29687460, 29689120]
[29689120, 29690610]
[29690610, 29692380]
[29692380, 29694880]
[29694880, 29700460]
[29700460, 29701280]
[29701280, 29703220]
[29703220, 29704140]
[29704140, 29704940]
[29704940, 29706570]
[29706570, 29707640]
[29707640, 29709190]
[29709190, 29710050]
[29710050, 29711850]
[29711850, 29713330]
[29713330, 29717230]
[29717230, 29718120]
[29718120, 29719460]
[29719460, 29720260]
[29720260, 29721660]
[29721660, 29722640]
[29722640, 29725710]
[29725710, 29726560]
[29726560, 29729790]
[29729790, 29731080]
[29731080, 29741780]
[29741780, 29742400]
[29742400, 29747380]
[29747380, 29748180]
[29748180, 29749390]
[29749390, 29750220]
[29750220, 29751050]
[29751050, 29751850]
[29751850, 29762320]
[29762320, 29763820]
[29763820, 29765580]
[29765580, 29766940]
[29766940, 29768950]
[29768950, 29770040]
[29770040, 29771040]
[29771040, 29772510]
[29772510, 29773410]
[29773410, 29774790]
[29774790, 29776790]
[29776790, 29778260]
[29778260, 29779470]
[29779470, 29780740]
[29780740, 29781590]
[29781590, 29790250]
[29790250, 29791060]
[29791060, 29792450]
[29792450, 29793450]
[29793450, 29794250]
[29794250, 29795600]
[29795600, 29796460]
[29796460, 29798180]
[29798180, 29798980]
[29798980, 29799960]
[29799960, 29800760]
[29800760, 29801960]
[29801960, 29802770]
[29802770, 29803850]
[29803850, 29805420]
[29805420, 29808220]
[29808220, 29809150]
[29809150, 29811140]
[29811140, 29811940]
[29811940, 29814270]
[29814270, 29816170]
[29816170, 29817010]
[29817010, 29818460]
[29818460, 29820090]
[29820090, 29821550]
[29821550, 29822350]
[29822350, 29823490]
[29823490, 29826710]
[29826710, 29827510]
[29827510, 29829090]
[29829090, 29829210]
[29829210, 29829290]
[29829290, 29829890]
[29829890, 29831010]
[29831010, 29832090]
[29832090, 29832890]
[29832890, 29833900]
[29833900, 29834610]
[29834610, 29835590]
[29835590, 29836730]
[29836730, 29837600]
[29837600, 29838770]
[29838770, 29839100]
[29839100, 29839380]
[29839380, 29840490]
[29840490, 29841240]
[29841240, 29841800]
[29841800, 29842280]
[29842280, 29842620]
[29842620, 29843160]
[29843160, 29843250]
[29843250, 29847780]
[29847780, 29848580]
[29848580, 29851550]
[29851550, 29852590]
[29852590, 29853930]
[29853930, 29855100]
[29855100, 29857750]
[29857750, 29859270]
[29859270, 29860420]
[29860420, 29861240]
[29861240, 29863040]
[29863040, 29864150]
[29864150, 29865250]
[29865250, 29867180]
[29867180, 29867980]
[29867980, 29869050]
[29869050, 29870550]
[29870550, 29871330]
[29871330, 29875190]
[29875190, 29876020]
[29876020, 29878120]
[29878120, 29879020]
[29879020, 29879930]
[29879930, 29884920]
[29884920, 29885860]
[29885860, 29886670]
[29886670, 29887510]
[29887510, 29889750]
[29889750, 29891140]
[29891140, 29892010]
[29892010, 29893020]
[29893020, 29894400]
[29894400, 29895960]
[29895960, 29896760]
[29896760, 29897620]
[29897620, 29898870]
[29898870, 29902860]
[29902860, 29906470]
[29906470, 29907500]
[29907500, 29908510]
[29908510, 29909510]
[29909510, 29910510]
[29910510, 29911740]
[29911740, 29912680]
[29912680, 29913720]
[29913720, 29914520]
[29914520, 29917780]
[29917780, 29918800]
[29918800, 29921690]
[29921690, 29922920]
[29922920, 29926160]
[29926160, 29927270]
[29927270, 29928660]
[29928660, 29929790]
[29929790, 29931480]
[29931480, 29932950]
[29932950, 29933780]
[29933780, 29934840]
[29934840, 29942200]
[29942200, 29943130]
[29943130, 29943930]
[29943930, 29945000]
[29945000, 29946740]
[29946740, 29947540]
[29947540, 29949600]
[29949600, 29950410]
[29950410, 29951410]
[29951410, 29952760]
[29952760, 29953560]
[29953560, 29954680]
[29954680, 29958810]
[29958810, 29960220]
[29960220, 29961530]
[29961530, 29962330]
[29962330, 29963170]
[29963170, 29965960]
[29965960, 29966760]
[29966760, 29969180]
[29969180, 29970670]
[29970670, 29971670]
[29971670, 29972470]
[29972470, 29973500]
[29973500, 29974300]
[29974300, 29975730]
[29975730, 29976530]
[29976530, 29977990]
[29977990, 29978800]
[29978800, 29979600]
[29979600, 29980480]
[29980480, 29981280]
[29981280, 29982460]
[29982460, 29989030]
[29989030, 29990020]
[29990020, 29991350]
[29991350, 29993110]
[29993110, 29994100]
[29994100, 29995170]
[29995170, 29995970]
[29995970, 29998490]
[29998490, 30001770]
[30001770, 30004490]
[30004490, 30010070]
[30010070, 30010460]
[30010460, 30010570]
[30010570, 30010670]
[30010670, 30012200]
[30012200, 30013020]
[30013020, 30014380]
[30014380, 30014540]
[30014540, 30014620]
[30014620, 30014980]
[30014980, 30016120]
[30016120, 30019360]
[30019360, 30021900]
[30021900, 30022920]
[30022920, 30024720]
[30024720, 30025930]
[30025930, 30026730]
[30026730, 30027540]
[30027540, 30028350]
[30028350, 30029150]
[30029150, 30030560]
[30030560, 30031380]
[30031380, 30032180]
[30032180, 30032980]
[30032980, 30033180]
[30033180, 30033440]
[30033440, 30033580]
[30033580, 30035020]
[30035020, 30035830]
[30035830, 30036630]
[30036630, 30037430]
[30037430, 30038230]
[30038230, 30039050]
[30039050, 30042620]
[30042620, 30044180]
[30044180, 30045140]
[30045140, 30051820]
[30051820, 30051920]
[30051920, 30052310]
[30052310, 30052650]
[30052650, 30052870]
[30052870, 30054140]
[30054140, 30057610]
[30057610, 30058410]
[30058410, 30060330]
[30060330, 30061130]
[30061130, 30062990]
[30062990, 30063280]
[30063280, 30063650]
[30063650, 30064450]
[30064450, 30064590]
[30064590, 30065110]
[30065110, 30065970]
[30065970, 30066240]
[30066240, 30066570]
[30066570, 30067370]
[30067370, 30068720]
[30068720, 30069520]
[30069520, 30070570]
[30070570, 30070840]
[30070840, 30072210]
[30072210, 30072320]
[30072320, 30074390]
[30074390, 30075290]
[30075290, 30075420]
[30075420, 30078130]
[30078130, 30081430]
[30081430, 30082250]
[30082250, 30084150]
[30084150, 30084950]
[30084950, 30174760]
[30174760, 30175360]
[30175360, 30177820]
[30177820, 30178650]
[30178650, 30179740]
[30179740, 30180540]
[30180540, 30189640]
[30259190, 30260180]
[30260180, 30261500]
